mark,fuel,vol_engine,year,mileage,price
0,1,1598,2010,224000,15500
0,1,1598,2007,199200,14999
0,1,1364,2009,153000,15900
0,1,1598,2007,148500,15900
0,1,1598,2008,211217,14900
0,1,1796,2007,207000,11700
0,0,1700,2009,156000,8800
0,1,1364,2008,158000,15900
0,1,1598,2010,166000,19926
0,0,1686,2008,205000,9900
0,1,1598,2007,191000,16700
0,1,1598,2007,171000,13900
0,1,1598,2009,176000,17999
0,1,1364,2009,102000,14999
0,0,1248,2007,237000,12900
0,0,1910,2008,229000,12900
0,1,1598,2011,134550,19750
0,1,1364,2009,113565,16600
0,1,1598,2009,169750,14900
0,1,1598,2009,217500,13900
0,1,1364,2008,123000,16000
0,1,1598,2010,224000,18500
0,0,1910,2009,209000,14700
0,1,1598,2007,141700,18900
0,1,1598,2007,126000,16800
0,1,1364,2009,175000,12800
0,0,1910,2007,250000,12700
0,1,1598,2007,199888,10900
0,1,1364,2009,150000,16900
0,1,1598,2009,191000,13999
0,1,1598,2008,169000,15400
0,0,1910,2007,198700,13900
0,0,1686,2009,217648,13600
0,0,1686,2011,204000,14000
0,0,1248,2007,137100,14900
0,1,1598,2008,173000,18900
0,1,1598,2009,150000,14900
0,0,1686,2008,201185,9000
0,1,1796,2008,149000,14900
0,0,1910,2007,214000,8800
0,1,1364,2009,160000,18900
0,1,1598,2008,179892,18800
0,1,1598,2009,71000,19900
0,0,1686,2009,234000,15900
0,1,1600,2009,178722,15600
0,0,1910,2008,178905,16900
0,0,1686,2009,167120,15500
0,1,1364,2009,171000,15500
0,1,1598,2008,168000,20900
0,1,1598,2007,249000,12900
0,1,1796,2007,128301,21890
0,1,1796,2010,127907,24500
0,2,1598,2009,219000,13000
0,1,1796,2009,200000,15900
0,1,1364,2009,162000,16800
0,1,1364,2010,176000,22500
0,1,1598,2011,199051,17500
0,1,1598,2010,216720,16900
0,1,1364,2009,214169,15900
0,1,1598,2008,179000,13990
0,0,1686,2010,177000,16800
0,1,1796,2009,187000,14900
0,1,1796,2007,181687,13299
0,1,1598,2007,200000,11900
0,1,1598,2009,187000,16900
0,2,1598,2009,189000,14000
0,1,1598,2007,130000,14900
0,1,1598,2008,182273,13900
0,1,1598,2009,178000,14800
0,1,1364,2007,84150,18900
0,1,1364,2007,177100,10500
0,1,1598,2007,182312,16900
0,1,1364,2009,130000,13000
0,1,1400,2007,250621,13400
0,0,1686,2007,216000,8800
0,1,1598,2008,199000,14900
0,1,1598,2009,171000,16200
0,2,1598,2008,206800,15900
0,1,1598,2008,180000,15900
0,1,1796,2007,159100,15900
0,0,1686,2008,212543,10600
0,0,1910,2007,220000,11900
0,1,1364,2009,158012,15500
0,1,1796,2009,220000,13999
0,0,1910,2007,189000,11500
0,2,1364,2007,215000,13900
0,1,1598,2009,181688,14900
0,0,1686,2009,247000,13000
0,1,1598,2008,192857,14999
0,1,1364,2008,192000,13900
0,1,1598,2007,178000,12900
0,1,1364,2010,141000,14900
0,1,1796,2009,143000,20900
0,0,1910,2009,176000,14999
0,1,1598,2009,208000,13400
0,1,1598,2007,207000,14900
0,1,1598,2010,94000,22900
0,1,1364,2008,132000,12900
0,0,1910,2008,203392,13800
0,1,1598,2011,65000,30000
0,1,1364,2009,113565,16600
0,1,1598,2009,171255,14400
0,1,1364,2009,140000,14900
0,1,1598,2008,207000,11600
0,2,1598,2007,248000,14500
0,1,1598,2008,193000,11500
0,1,1598,2010,179000,16500
0,1,1598,2009,167000,14999
0,1,1598,2007,210164,13800
0,0,1910,2007,245000,19900
0,0,1910,2007,245000,19900
0,1,1364,2009,151000,15750
0,1,1598,2009,138296,15900
0,1,1796,2009,145222,16950
0,2,1598,2007,222325,19900
0,1,1399,2019,50080,75500
0,1,1598,2009,193000,18700
0,1,1798,2008,179000,15900
0,0,1686,2010,206000,12800
0,1,1364,2010,176000,17900
0,0,1686,2011,236118,14900
0,1,1598,2008,219000,15000
0,1,1398,2009,194000,13900
0,0,1910,2007,247416,12900
0,1,1598,2011,149389,22000
0,0,1686,2007,186945,12000
0,1,1598,2009,164498,14499
0,1,1598,2008,106000,15900
0,1,1364,2009,115979,19000
0,2,1598,2010,195800,18800
0,0,1686,2009,220000,14900
0,1,1796,2007,153000,17900
0,1,1598,2009,184000,15200
0,0,1686,2008,238000,12500
0,1,1364,2009,167354,13900
0,1,1598,2009,180200,17900
0,1,1598,2010,152502,16800
0,1,1364,2009,180000,13900
0,1,1598,2007,217000,12900
0,1,1598,2008,206000,12500
0,1,1364,2008,203215,11800
0,1,1364,2010,71928,21000
0,0,1686,2009,182000,11500
0,1,1598,2009,124250,15900
0,1,1998,2007,178000,19500
0,1,1598,2007,236000,8500
0,1,1796,2007,165000,14100
0,1,1598,2007,173907,13900
0,0,1686,2009,208000,16900
0,1,1598,2009,230000,15500
0,1,1364,2009,205000,15950
0,1,1598,2009,182000,13500
0,0,1686,2008,199000,13900
0,0,1686,2009,178000,12800
0,1,1364,2010,140100,16500
0,1,1796,2008,145217,16400
0,2,1796,2007,191000,13900
0,1,1400,2009,238000,13900
0,1,1796,2007,147000,15900
0,1,1796,2009,189764,16900
0,0,1910,2007,254405,10900
0,1,1598,2008,253700,13500
0,1,1598,2009,249000,16999
0,1,1598,2009,162000,15900
0,1,1364,2008,145000,13900
0,1,1598,2008,164600,13500
0,1,1364,2007,104222,15500
0,1,1364,2008,141000,14500
0,1,1998,2007,213268,17900
0,1,1598,2009,236382,13900
0,0,1686,2007,213950,9500
0,1,1598,2007,222000,14999
0,0,1686,2007,179000,14300
0,1,1598,2010,235000,14900
0,2,1598,2009,136738,17500
0,1,1364,2009,224000,15900
0,0,1686,2008,148000,11700
0,1,1598,2007,144039,15900
0,0,1910,2007,177250,10800
0,1,1598,2008,190000,13900
0,1,1598,2008,251899,6999
0,1,1598,2007,220000,9999
0,1,1598,2007,150000,15900
0,1,1796,2007,166300,14000
0,1,1598,2008,116381,17900
0,0,1910,2007,194740,15000
0,1,1398,2012,88600,26500
0,1,1598,2011,149500,22140
0,0,1956,2011,204284,26999
0,1,1598,2009,119900,16900
0,1,1598,2007,205000,15800
0,0,1686,2010,197000,14200
0,1,1598,2009,173930,13999
